FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_hydro_2020.84,84,Murphys,Utica Water & Power Authority,IPP Non-CHP,Murphys,Calaveras,California,95247,hydroelectric,1.7,Conventional Hydroelectric
powerplant_hydro_2020.85,85,Narrows PH,Pacific Gas & Electric Co.,Electric Utility,Grass Valley,Nevada,California,95945,hydroelectric,12,Conventional Hydroelectric
powerplant_hydro_2020.86,86,Phoenix,Pacific Gas & Electric Co.,Electric Utility,Sonora,Tuolumne,California,95370,hydroelectric,2,Conventional Hydroelectric
powerplant_hydro_2020.87,87,Pit 1,Pacific Gas & Electric Co.,Electric Utility,Burney,Shasta,California,96013,hydroelectric,61,Conventional Hydroelectric
powerplant_hydro_2020.88,88,Pit 3,Pacific Gas & Electric Co.,Electric Utility,Burney,Shasta,California,96013,hydroelectric,69.9,Conventional Hydroelectric
powerplant_hydro_2020.89,89,Pit 4,Pacific Gas & Electric Co.,Electric Utility,Big Bend,Shasta,California,96011,hydroelectric,95,Conventional Hydroelectric
powerplant_hydro_2020.90,90,Pit 5,Pacific Gas & Electric Co.,Electric Utility,Big Bend,Shasta,California,96011,hydroelectric,160,Conventional Hydroelectric
powerplant_hydro_2020.91,91,Pit 6,Pacific Gas & Electric Co.,Electric Utility,Montgomery Creek,Shasta,California,96065,hydroelectric,80,Conventional Hydroelectric
powerplant_hydro_2020.92,92,Pit 7,Pacific Gas & Electric Co.,Electric Utility,Montgomery Creek,Shasta,California,96065,hydroelectric,113,Conventional Hydroelectric
powerplant_hydro_2020.93,93,Poe,Pacific Gas & Electric Co.,Electric Utility,Storrie,Butte,California,95980,hydroelectric,120,Conventional Hydroelectric
powerplant_hydro_2020.94,94,Potter Valley,Pacific Gas & Electric Co.,Electric Utility,Potter Valley,Mendocino,California,95469,hydroelectric,9.2,Conventional Hydroelectric
powerplant_hydro_2020.95,95,Rock Creek,Pacific Gas & Electric Co.,Electric Utility,Storrie,Plumas,California,95980,hydroelectric,126,Conventional Hydroelectric
powerplant_hydro_2020.96,96,San Joaquin 2,Pacific Gas & Electric Co.,Electric Utility,North Fork,Madera,California,93643,hydroelectric,3.2,Conventional Hydroelectric
powerplant_hydro_2020.97,97,San Joaquin 3,Pacific Gas & Electric Co.,Electric Utility,North Fork,Madera,California,93643,hydroelectric,4.2,Conventional Hydroelectric
powerplant_hydro_2020.98,98,Salt Springs,Pacific Gas & Electric Co.,Electric Utility,Pioneer,Amador,California,95666,hydroelectric,44,Conventional Hydroelectric
powerplant_hydro_2020.99,99,South,Pacific Gas & Electric Co.,Electric Utility,Manton,Tehama,California,96059,hydroelectric,7,Conventional Hydroelectric
powerplant_hydro_2020.100,100,Spaulding 1,Pacific Gas & Electric Co.,Electric Utility,Emigrant Gap,Nevada,California,95715,hydroelectric,7,Conventional Hydroelectric
