FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_solar_2020.1624,1624,Munro Valley Solar,Ecos Energy LLC,IPP Non-CHP,Olancha,Inyo,California,93549,solar,4,Solar Photovoltaic
powerplant_solar_2020.1625,1625,Bonnybrooke PV,"Apple, Inc",IPP Non-CHP,Florence,Pinal,Arizona,85132,solar,50,Solar Photovoltaic
powerplant_solar_2020.1626,1626,"Hardison Farm Solar, LLC",Cypress Creek Renewables,IPP Non-CHP,Williamston,Martin,North Carolina,27892,solar,5.2,Solar Photovoltaic
powerplant_solar_2020.1627,1627,"Maxton Solar, LLC",Cypress Creek Renewables,IPP Non-CHP,Maxton,Robeson,North Carolina,28364,solar,4.9,Solar Photovoltaic
powerplant_solar_2020.1628,1628,Modlin Solar Farm,Cypress Creek Renewables,IPP Non-CHP,Williamston,Martin,North Carolina,27892,solar,4.9,Solar Photovoltaic
powerplant_solar_2020.1629,1629,Morgan's Corner,Virginia Electric & Power Co,Electric Utility,Elizabeth City,Pasquotank,North Carolina,27909,solar,8,Solar Photovoltaic
powerplant_solar_2020.1630,1630,Fairhaven C CSG,GSRP,IPP Non-CHP,Fairhaven,Bristol,Massachusetts,2719,solar,1.6,Solar Photovoltaic
powerplant_solar_2020.1631,1631,West Bridgewater AB CSG,GSRP,IPP Non-CHP,West Bridgewater,Plymouth,Massachusetts,2379,solar,1.7,Solar Photovoltaic
powerplant_solar_2020.1632,1632,Skidmore College,,IPP Non-CHP,Saratoga Springs,Saratoga,New York,12866,solar,2,Solar Photovoltaic
powerplant_solar_2020.1633,1633,RCWD PV Project,"Solar Star California XL, LLC",IPP Non-CHP,Murrieta,Riverside,California,92562,solar,4.1,Solar Photovoltaic
powerplant_solar_2020.1634,1634,CoServ Community Solar Station,CoServ Electric,IPP Non-CHP,Aubrey,Denton,Texas,76227,solar,2,Solar Photovoltaic
powerplant_solar_2020.1635,1635,CA Dept of Public Health at Richmond,California PV Energy LLC,IPP Non-CHP,Richmond,Contra Costa,California,94804,solar,2.2,Solar Photovoltaic
powerplant_solar_2020.1636,1636,Tides Lane Farm,Carolina Solar Energy LLC,IPP Non-CHP,Louisburg,Franklin,North Carolina,27549,solar,3.7,Solar Photovoltaic
powerplant_solar_2020.1637,1637,Tompkins Cortland Community College,"SEC LHNY Solar One, LLC",IPP Non-CHP,Dryden,Tompkins,New York,13053,solar,2,Solar Photovoltaic
powerplant_solar_2020.1638,1638,Three Peaks Power,Three Peaks Power LLC,IPP Non-CHP,Cedar City,Iron,Utah,84721,solar,80,Solar Photovoltaic
powerplant_solar_2020.1639,1639,Crane Solar Facility,"Duke Energy Indiana, LLC",Electric Utility,Crane,Martin,Indiana,47522,solar,17,Solar Photovoltaic
powerplant_solar_2020.1640,1640,East Pecos Solar,Southern Power Co,IPP Non-CHP,McCamey,Pecos,Texas,75792,solar,118.5,Solar Photovoltaic
powerplant_solar_2020.1641,1641,Bernards Solar,NJR Clean Energy Ventures Corporation,IPP Non-CHP,Somerset,Somerset,New Jersey,7924,solar,2.6,Solar Photovoltaic
powerplant_solar_2020.1642,1642,Whitakers Farm (Fisher Rd),"Whitakers Farm, LLC",IPP Non-CHP,Whitakers,Nash,North Carolina,27891,solar,3.4,Solar Photovoltaic
powerplant_solar_2020.1643,1643,McGrigor Farm Solar,Carolina Solar Energy LLC,IPP Non-CHP,Clinton,Sampson,North Carolina,28328,solar,5,Solar Photovoltaic
powerplant_solar_2020.1644,1644,Carver MA 1 Community Solar,Navisun LLC,IPP Non-CHP,Carver,Plymouth,Massachusetts,2330,solar,2,Solar Photovoltaic
powerplant_solar_2020.1645,1645,Wareham MA 1 Community Solar,Navisun LLC,IPP Non-CHP,Wareham,Plymouth,Massachusetts,2571,solar,2,Solar Photovoltaic
powerplant_solar_2020.1646,1646,ID Solar,"Sustainable Power Group, LLC",IPP Non-CHP,Kuna,Ada,Idaho,83634,solar,40,Solar Photovoltaic
powerplant_solar_2020.1647,1647,E&B Resources,,IPP Non-CHP,Bakersfield,Kern,California,93308,solar,1,Solar Photovoltaic
powerplant_solar_2020.1648,1648,Presbyterian Senior Living Service,,IPP Non-CHP,Glen Arm,Baltimore,Maryland,21057,solar,1.2,Solar Photovoltaic
powerplant_solar_2020.1649,1649,Valdosta,,IPP Non-CHP,Valdosta,Lowndes,Georgia,31606,solar,1,Solar Photovoltaic
powerplant_solar_2020.1650,1650,Pavant Solar II LLC,Pavant Solar II LLC,IPP Non-CHP,Fillmore,Millard,Utah,84631,solar,50,Solar Photovoltaic
powerplant_solar_2020.1651,1651,Corcoran,,IPP Non-CHP,Corcoran,Kings,California,93212,solar,1.1,Solar Photovoltaic
powerplant_solar_2020.1653,1653,Calverton,,IPP Non-CHP,Calverton,Suffolk,New York,11933,solar,3.9,Solar Photovoltaic
powerplant_solar_2020.1654,1654,"Cummins, Inc",,IPP Non-CHP,Lakewood,Chautauqua,New York,14750,solar,2,Solar Photovoltaic
powerplant_solar_2020.1655,1655,Houghton,,IPP Non-CHP,Houghton,Allegany,New York,14744,solar,2.6,Solar Photovoltaic
powerplant_solar_2020.1656,1656,Oneida - South,"Oneida DG Solar, LLC",IPP Non-CHP,Whitestown,Oneida,New York,13492,solar,1.9,Solar Photovoltaic
powerplant_solar_2020.1657,1657,Oneida - West,"Oneida DG Solar, LLC",IPP Non-CHP,Whitestown,Oneida,New York,13492,solar,1.9,Solar Photovoltaic
powerplant_solar_2020.1658,1658,Hardwick-Athol & Eagle Hill,"SEC CRSD Solar One, LLC",IPP Non-CHP,Hardwick,Worcester,Massachusetts,1031,solar,2.8,Solar Photovoltaic
powerplant_solar_2020.1659,1659,The Clorox Company,Tesla Inc.,IPP Non-CHP,Aberdeen,Harford,Maryland,21001,solar,1.6,Solar Photovoltaic
powerplant_solar_2020.1660,1660,Onondaga County- Clearwater,Tesla Inc.,IPP Non-CHP,Oswego,Oswego,New York,13126,solar,2,Solar Photovoltaic
powerplant_solar_2020.1661,1661,Greene County Meter #1,Tesla Inc.,IPP Non-CHP,Cairo,Greene,New York,12413,solar,1.6,Solar Photovoltaic
powerplant_solar_2020.1662,1662,Chesapeake College,Tesla Inc.,IPP Non-CHP,Wye Mills,Queen Annes,Maryland,21679,solar,1.5,Solar Photovoltaic
powerplant_solar_2020.1663,1663,Red Rock,Arizona Public Service Co,Electric Utility,Red Rock,Maricopa,Arizona,85145,solar,40,Solar Photovoltaic
powerplant_solar_2020.1664,1664,Solar Glynn,Cypress Creek Renewables,IPP Non-CHP,Brunswick,Glynn,Georgia,31525,solar,18,Solar Photovoltaic
powerplant_solar_2020.1665,1665,CPS 1 Community Solar,Clean Energy Collective LLC,IPP Non-CHP,Adkins,Bexar,Texas,78101,solar,1,Solar Photovoltaic
powerplant_solar_2020.1666,1666,Westport MA 1 Community Solar,Navisun LLC,IPP Non-CHP,Westport,Bristol,Massachusetts,2790,solar,1.3,Solar Photovoltaic
powerplant_solar_2020.1667,1667,"Bayshore Solar B, LLC","Sustainable Power Group, LLC",IPP Non-CHP,Lancaster,Los Angeles,California,93534,solar,20,Solar Photovoltaic
powerplant_solar_2020.1668,1668,"Bayshore Solar C, LLC","Sustainable Power Group, LLC",IPP Non-CHP,Lancaster,Los Angeles,California,93534,solar,20,Solar Photovoltaic
powerplant_solar_2020.1669,1669,Westport MA 2 Community Solar,Navisun LLC,IPP Non-CHP,Westport,Bristol,Massachusetts,2790,solar,1.2,Solar Photovoltaic
powerplant_solar_2020.1670,1670,Bethlehem - East,"DG Bethlehem Solar, LLC",IPP Non-CHP,Selkirk,Albany,New York,12158,solar,1.7,Solar Photovoltaic
powerplant_solar_2020.1671,1671,Bethlehem - West,"DG Bethlehem Solar, LLC",IPP Non-CHP,Selkirk,Albany,New York,12158,solar,1,Solar Photovoltaic
powerplant_solar_2020.1672,1672,"Germantown Solar, LLC",Cypress Creek Renewables,IPP Non-CHP,Rural Hall,Forsyth,North Carolina,27045,solar,2.1,Solar Photovoltaic
powerplant_solar_2020.1673,1673,"Bayshore Solar A, LLC","Sustainable Power Group, LLC",IPP Non-CHP,Lancaster,Los Angeles,California,93534,solar,20,Solar Photovoltaic
powerplant_solar_2020.1674,1674,"Williamston West Farm, LLC","Williamston West Farm, LLC",IPP Non-CHP,Williamston,Martin,North Carolina,27892,solar,4.9,Solar Photovoltaic
powerplant_solar_2020.1675,1675,"Longboat Solar, LLC","Longboat Solar, LLC",IPP Non-CHP,Barstow,San Bernardino,California,92311,solar,20,Solar Photovoltaic
powerplant_solar_2020.1676,1676,"River Road Solar, LLC","River Road Solar, LLC",IPP Non-CHP,Cofield,Hertford,North Carolina,27922,solar,5,Solar Photovoltaic
powerplant_solar_2020.1677,1677,Hamilton Solar-Crosswicks,Hartz Solar Hamilton LLC,IPP Non-CHP,Hamilton,Mercer,New Jersey,8690,solar,7.5,Solar Photovoltaic
powerplant_solar_2020.1678,1678,Redwood 4 Solar Farm,54 KR 8me LLC,IPP Non-CHP,Edison,Kern,California,93307,solar,20,Solar Photovoltaic
powerplant_solar_2020.1679,1679,Springbok 3 Solar Farm,64KT 8me LLC,IPP Non-CHP,Cantil,Kern,California,93519,solar,91.5,Batteries; Solar Photovoltaic;
powerplant_solar_2020.1680,1680,Rail Trail,"Altus Power America Management, LLC",IPP Non-CHP,Great Barrington,Berkshire,Massachusetts,1230,solar,2,Solar Photovoltaic
