"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2018F","US","ARICD"," .68"," .79"," .82"," .84"," 1.6"," 1.89"," 1.86"," 1.95"," 2.13"," 2.58"," 3.68"," 5.02"," 4.24"," 4.32"," 4.54"," 4.77"," 4.34"," 3.56"," 3.39"," 2.95"," 3.02"," 3.14"," 2.5"," 2.9"," 2.93"," 3.18"," 3.29"," 3.54"," 3.43"," 3.31"," 3.99"," 3.99"," 4.12"," 4.64"," 4.77"," 5.27"," 6.7"," 7.23"," 8.07"," 11.59"," 13.12"," 14.72"," 16.12"," 15.36"," 15.78"," 13.04"," 9.32"," 9.7"," 12.66"
"2018F","US","ARICV"," 730.8"," 878"," 928.1"," 1057.8"," 1865.4"," 1913.6"," 1856"," 2064.9"," 2470.5"," 2976.6"," 3542.9"," 4156.2"," 3513.5"," 3901.5"," 4500.8"," 4915.5"," 4716.8"," 4017.7"," 3847.5"," 3228.3"," 3529.1"," 3381.7"," 2755.2"," 3335.9"," 3437.5"," 3747.6"," 3870.4"," 4331.1"," 4335.1"," 4380.8"," 5091.1"," 5015.1"," 5107.5"," 5660.9"," 6220.9"," 6969"," 8448.4"," 8656.9"," 8171.1"," 10121.7"," 11518"," 12649.9"," 13323.8"," 12029.1"," 12506.1"," 10848.5"," 7949.7"," 8241"," 10037.8"
"2018F","US","ARTCD"," .68"," .79"," .82"," .84"," 1.6"," 1.89"," 1.86"," 1.95"," 2.13"," 2.58"," 3.68"," 5.02"," 4.24"," 4.32"," 4.54"," 4.77"," 4.34"," 3.56"," 3.39"," 2.95"," 3.02"," 3.14"," 2.5"," 2.9"," 2.93"," 3.18"," 3.29"," 3.54"," 3.43"," 3.31"," 3.99"," 3.99"," 4.12"," 4.64"," 4.77"," 5.27"," 6.7"," 7.23"," 8.07"," 11.59"," 13.12"," 14.72"," 16.12"," 15.36"," 15.78"," 13.04"," 9.32"," 9.7"," 12.66"
"2018F","US","ARTCV"," 730.8"," 878"," 928.1"," 1057.8"," 1865.4"," 1913.6"," 1856"," 2064.9"," 2470.5"," 2976.6"," 3542.9"," 4156.2"," 3513.5"," 3901.5"," 4500.8"," 4915.5"," 4716.8"," 4017.7"," 3847.5"," 3228.3"," 3529.1"," 3381.7"," 2755.2"," 3335.9"," 3437.5"," 3747.6"," 3870.4"," 4331.1"," 4335.1"," 4380.8"," 5091.1"," 5015.1"," 5107.5"," 5660.9"," 6220.9"," 6969"," 8448.4"," 8656.9"," 8171.1"," 10121.7"," 11518"," 12649.9"," 13323.8"," 12029.1"," 12506.1"," 10848.5"," 7949.7"," 8241"," 10037.8"
"2018F","US","ARTXD"," .68"," .79"," .82"," .84"," 1.6"," 1.89"," 1.86"," 1.95"," 2.13"," 2.58"," 3.68"," 5.02"," 4.24"," 4.32"," 4.54"," 4.77"," 4.34"," 3.56"," 3.39"," 2.95"," 3.02"," 3.14"," 2.5"," 2.9"," 2.93"," 3.18"," 3.29"," 3.54"," 3.43"," 3.31"," 3.99"," 3.99"," 4.12"," 4.64"," 4.77"," 5.27"," 6.7"," 7.23"," 8.07"," 11.59"," 13.12"," 14.72"," 16.12"," 15.36"," 15.78"," 13.04"," 9.32"," 9.7"," 12.66"
"2018F","US","ARTXV"," 730.8"," 878"," 928.1"," 1057.8"," 1865.4"," 1913.6"," 1856"," 2064.9"," 2470.5"," 2976.6"," 3542.9"," 4156.2"," 3513.5"," 3901.5"," 4500.8"," 4915.5"," 4716.8"," 4017.7"," 3847.5"," 3228.3"," 3529.1"," 3381.7"," 2755.2"," 3335.9"," 3437.5"," 3747.6"," 3870.4"," 4331.1"," 4335.1"," 4380.8"," 5091.1"," 5015.1"," 5107.5"," 5660.9"," 6220.9"," 6969"," 8448.4"," 8656.9"," 8171.1"," 10121.7"," 11518"," 12649.9"," 13323.8"," 12029.1"," 12506.1"," 10848.5"," 7949.7"," 8241"," 10037.8"
"2018F","US","AVACD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"," 24.86"," 21.62"," 24.13"," 27.04"
"2018F","US","AVACV"," 218"," 199.8"," 187.5"," 196.8"," 264.7"," 244.7"," 241.9"," 279.1"," 306.8"," 403.1"," 580.3"," 610"," 512.8"," 497.8"," 450.5"," 502.9"," 495.7"," 344.4"," 363.2"," 394"," 419.1"," 363.4"," 350.8"," 316.3"," 303.7"," 331"," 346.9"," 372.6"," 288"," 345.1"," 394.3"," 384.6"," 361.5"," 375.4"," 472.8"," 656.5"," 746.4"," 748.8"," 770.2"," 539.6"," 681.4"," 856.1"," 829.7"," 731.4"," 719.5"," 525.6"," 442.5"," 505.5"," 605.5"
"2018F","US","AVTCD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"," 24.86"," 21.62"," 24.13"," 27.04"
"2018F","US","AVTCV"," 218"," 199.8"," 187.5"," 196.8"," 264.7"," 244.7"," 241.9"," 279.1"," 306.8"," 403.1"," 580.3"," 610"," 512.8"," 497.8"," 450.5"," 502.9"," 495.7"," 344.4"," 363.2"," 394"," 419.1"," 363.4"," 350.8"," 316.3"," 303.7"," 331"," 346.9"," 372.6"," 288"," 345.1"," 394.3"," 384.6"," 361.5"," 375.4"," 472.8"," 656.5"," 746.4"," 748.8"," 770.2"," 539.6"," 681.4"," 856.1"," 829.7"," 731.4"," 719.5"," 525.6"," 442.5"," 505.5"," 605.5"
