FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_wind_2020.788,788,RP Wind,Consolidated Edison Solutions Inc,IPP Non-CHP,Russells Point,Logan,Ohio,43348,wind,3.4,Onshore Wind Turbine
powerplant_wind_2020.789,789,Odell Wind Farm,Algonquin Power Co,IPP Non-CHP,Mountain Lake,Cottonwood,Minnesota,56159,wind,200,Onshore Wind Turbine
powerplant_wind_2020.790,790,Courtenay Wind Farm,Northern States Power Co - Minnesota,Electric Utility,Courtenay,Stutsman,North Dakota,58426,wind,195,Onshore Wind Turbine
powerplant_wind_2020.791,791,Cape Cod Air Force Station - 6 SWS,US Air Force,Commercial Non-CHP,Sagamore,Barnstable,Massachusetts,2561,wind,3.4,Onshore Wind Turbine
powerplant_wind_2020.792,792,Alexander Wind Farm LLC,SRIV Partnership LLC,IPP Non-CHP,Alexander,Rush,Kansas,67513,wind,50.7,Onshore Wind Turbine
powerplant_wind_2020.793,793,Gratiot County Wind LLC,Invenergy Services LLC,IPP Non-CHP,Breckenridge,Gratiot,Michigan,48615,wind,110.4,Onshore Wind Turbine
powerplant_wind_2020.794,794,Route 66 Wind Plant,Novatus Energy,IPP Non-CHP,Panhandle,Carson,Texas,79068,wind,150,Onshore Wind Turbine
powerplant_wind_2020.795,795,"Osage Wind, LLC","Enel Green Power NA, Inc.",IPP Non-CHP,Burbank,Osage,Oklahoma,74633,wind,150.4,Onshore Wind Turbine
powerplant_wind_2020.796,796,Hancock Wind Plant,Novatus Energy,IPP Non-CHP,T22 MD,Hancock,Maine,4408,wind,51,Onshore Wind Turbine
powerplant_wind_2020.797,797,Apple Blossom Wind Farm,"Apple Blossom Wind, LLC",IPP Non-CHP,Pigeon,Huron,Michigan,48755,wind,100,Onshore Wind Turbine
powerplant_wind_2020.798,798,South Fork Wind Farm,"South Fork Wind, LLC",IPP Non-CHP,Round Lake,Jackson,Minnesota,56167,wind,13,Onshore Wind Turbine
powerplant_wind_2020.799,799,Black Oak Wind Farm,"Black Oak Wind, LLC",IPP Non-CHP,Sauk Centre,Stearns,Minnesota,56378,wind,78,Onshore Wind Turbine
powerplant_wind_2020.800,800,Walnut Ridge Wind Farm,"BHE Renewables, LLC",IPP Non-CHP,Sheffield,Bureau,Illinois,61361,wind,212,Onshore Wind Turbine
powerplant_wind_2020.801,801,Grande Prairie Wind Farm,"BHE Renewables, LLC",IPP Non-CHP,O'Neill,Holt,Nebraska,68763,wind,400,Onshore Wind Turbine
powerplant_wind_2020.802,802,Brookfield,DTE Electric Company,Electric Utility,Pigeon,Huron,Michigan,48755,wind,74.8,Onshore Wind Turbine
powerplant_wind_2020.803,803,Pattern Panhandle Wind 2 LLC,Pattern Operators LP,IPP Non-CHP,Panhandle,Carson,Texas,79068,wind,181.7,Onshore Wind Turbine
powerplant_wind_2020.804,804,Miami Wind Energy Center,Invenergy Services LLC,IPP Non-CHP,Miami,Roberts,Texas,79059,wind,288.6,Onshore Wind Turbine
powerplant_wind_2020.805,805,Wake Wind Energy Center,Southern Power Co,IPP Non-CHP,Floydada,Crosby,Texas,79235,wind,257,Onshore Wind Turbine
powerplant_wind_2020.806,806,Buckeye Wind Energy Center,Invenergy Services LLC,IPP Non-CHP,Hays,Ellis,Kansas,67601,wind,205.7,Onshore Wind Turbine
powerplant_wind_2020.807,807,Marsh Hill Wind Farm,Invenergy Services LLC,IPP Non-CHP,Jasper,Steuben,New York,14855,wind,16.2,Onshore Wind Turbine
