FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_coal_2020.106,106,TalenEnergy Montour,TalenEnergy Montour LLC,IPP Non-CHP,Washingtonville,Montour,Pennsylvania,17884,coal,1504,Conventional Steam Coal
powerplant_coal_2020.107,107,Wateree,"Dominion Energy South Carolina, Inc",Electric Utility,Eastover,Richland,South Carolina,29044,coal,684,Conventional Steam Coal
powerplant_coal_2020.108,108,Williams,"South Carolina Genertg Co, Inc",Electric Utility,Goose Creek,Berkeley,South Carolina,29445,coal,645,Conventional Steam Coal; Natural Gas Fired Combustion Turbine;
powerplant_coal_2020.109,109,Bull Run,Tennessee Valley Authority,Electric Utility,Clinton,Anderson,Tennessee,37716,coal,870,Conventional Steam Coal
powerplant_coal_2020.110,110,Cumberland (TN),Tennessee Valley Authority,Electric Utility,Cumberland City,Stewart,Tennessee,37050,coal,2470,Conventional Steam Coal
powerplant_coal_2020.111,111,Gallatin (TN),Tennessee Valley Authority,Electric Utility,Gallatin,Sumner,Tennessee,37066,coal,1555.6,Conventional Steam Coal; Natural Gas Fired Combustion Turbine;
powerplant_coal_2020.112,112,Kingston,Tennessee Valley Authority,Electric Utility,Kingston,Roane,Tennessee,37763,coal,1398,Conventional Steam Coal
powerplant_coal_2020.113,113,W A Parish,NRG Texas Power LLC,IPP Non-CHP,Thompsons,Fort Bend,Texas,77481,coal,3690,Conventional Steam Coal; Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine
powerplant_coal_2020.114,114,Chesterfield,Virginia Electric & Power Co,Electric Utility,Chester,Chesterfield,Virginia,23831,coal,1403,Conventional Steam Coal; Natural Gas Fired Combined Cycle;
powerplant_coal_2020.115,115,Transalta Centralia Generation,TransAlta Centralia Gen LLC,IPP Non-CHP,Centralia,Lewis,Washington,98531,coal,1340,Conventional Steam Coal
powerplant_coal_2020.116,116,John E Amos,Appalachian Power Co,Electric Utility,St Albans,Putnam,West Virginia,25213,coal,2900,Conventional Steam Coal
powerplant_coal_2020.117,117,FirstEnergy Fort Martin Power Station,Monongahela Power Co,Electric Utility,Maidsville,Monongalia,West Virginia,26541,coal,1098,Conventional Steam Coal
powerplant_coal_2020.118,118,FirstEnergy Harrison Power Station,Monongahela Power Co,Electric Utility,Haywood,Harrison,West Virginia,26366,coal,1954,Conventional Steam Coal
powerplant_coal_2020.119,119,Mitchell (WV),Kentucky Power Co,Electric Utility,Captina,Marshall,West Virginia,26041,coal,1560,Conventional Steam Coal
