Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,USA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,19.32,19.06,19.14,19.35,19.36,19.28,19.5,19.69,19.58,19.73,20.18,19.64,19.61,19.56,19.66,19.59,19.09,19.22,18.46,17.16,17.44,16.92,16.19,16.36,16.42,15.99,15.5,..,..,..,..
United States,USA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,11713.33,12134.17,12014.96,12261.52,12455.16,12659.61,12854.3,12889.83,13154.76,13281.87,13671.05,13046.61,13296.18,13307.49,13388.59,13704.58,13583.27,13657.45,13663.43,12913.71,13395.14,13247.01,12966.12,13006.75,12997.45,..,..,..,..,..,..
