FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_geothermal_2020.50,50,Jersey Valley Geothermal Power Plant,Ormat Nevada Inc,IPP Non-CHP,Imlay,Pershing,Nevada,89418,geothermal,15.6,Geothermal
powerplant_geothermal_2020.51,51,McGinness Hills,Ormat Nevada Inc,IPP Non-CHP,Austin,Lander,Nevada,89310,geothermal,66.6,Geothermal
powerplant_geothermal_2020.52,52,Tuscarora Geothermal Power Plant,Ormat Nevada Inc,IPP Non-CHP,Tuscarora,Elko,Nevada,89834,geothermal,21.4,Geothermal
powerplant_geothermal_2020.53,53,San Emidio,USG Nevada LLC,IPP Non-CHP,Gerlach,Washoe,Nevada,89412,geothermal,6,Geothermal
powerplant_geothermal_2020.54,54,John L. Featherstone Plant,,IPP Non-CHP,Calipatria,Imperial,California,92233,geothermal,49.9,Geothermal
powerplant_geothermal_2020.55,55,Neal Hot Springs Geothermal Project,US Geothermal Inc.,IPP Non-CHP,Vale,Malheur,Oregon,97918,geothermal,17.7,Geothermal
powerplant_geothermal_2020.56,56,"Patua Acquisition Project, LLC","Patua Acquisition Company, LLC",IPP Non-CHP,Hazen,Churchill,Nevada,89408,geothermal,40.6,Geothermal; Solar Photovoltaic;
powerplant_geothermal_2020.57,57,Don A Campbell 1 Geothermal,"ORNI 47, LLC",IPP Non-CHP,Gabbs,Mineral,Nevada,89420,geothermal,14.8,Geothermal
powerplant_geothermal_2020.58,58,Enel Cove Fort,Enel Cove Fort LLC,IPP Non-CHP,Cove Fort,Beaver,Utah,84713,geothermal,25,Geothermal
powerplant_geothermal_2020.59,59,"Lightning Dock Geothermal HI-01, LLC","Lightning Dock Geothermal HI-01, LLC",IPP Non-CHP,Animas,Hidalgo,New Mexico,88020,geothermal,8.6,Geothermal
powerplant_geothermal_2020.60,60,Paisley Geothermal Generating Plant,Surprise Valley Electrification,Electric Utility,Paisley,Lake,Oregon,97636,geothermal,1.8,Geothermal
powerplant_geothermal_2020.61,61,Don A Campbell 2 Geothermal,ORNI 37 LLC,IPP Non-CHP,Luning,Mineral,Nevada,89420,geothermal,16.2,Geothermal
powerplant_geothermal_2020.62,62,Tungsten Mountain,Tungsten Mountain,IPP Non-CHP,Fallon,Churchill,Nevada,89406,geothermal,31.7,Geothermal; Solar Photovoltaic;
powerplant_geothermal_2020.63,63,McGinness Hills 3,Ormat Nevada Inc,Commercial Non-CHP,Austin,Lander,Nevada,89310,geothermal,49.4,Geothermal
powerplant_geothermal_2020.64,64,Whitegrass No. 1,Open Mountain Energy LLC.,IPP Non-CHP,Yerington,Lyon,Nevada,89447,geothermal,6.4,Geothermal
powerplant_geothermal_2020.65,65,Soda Lake 3,"AMOR IX, LLC",IPP Non-CHP,Fallon,Churchill,Nevada,89406,geothermal,20,Geothermal
